	PROPHYLAXIS RECOMMENDATIONS								
f713e94b-7d40-4c72-baeb-7e6944b9252e				Open heart surgery					
d658173f-7c1e-423c-bb7b-8a2ec763ce09					Adults				
f149a531-a371-46b1-a357-f42c7e4c548b						Prosthetic valve			
a2685662-23a0-421d-874c-dfde9e5ac006						Coronary artery bypass			
f67d6a1c-9034-4f9b-a8ed-0071db6ebb90						Other open heart surgery			
6748bf05-3f69-45cd-8c12-66a322203026					Paediatrics				
e18c7b83-5c11-4ca6-ae1d-016027c66af0						Prosthetic valve			
5dbba2a6-95a0-4d9d-a80c-e008c3ca21d1						Congenital repairs			
913993d3-8e30-48d6-b071-8773b2616013				<blank>					
8c5d2946-f346-4c35-b95d-204fb3da2547					"Placement of electophysiologic devices, vetricular assist devices, vetriculoatrial shunts, arterial patches"				
076e6984-2e7b-4abc-9470-1144e7d4d0e5				<blank>					
bb178c4a-fb64-43af-b186-3e5d4b17873b					Cardiac catheterization				
ae0e86f4-5053-4c5f-94be-01b143bbde35			THORACIC						
b0a6612d-1e1d-4704-bfaa-045e42b1a504				<blank>					
dc6d5d77-e05e-4498-bc5a-f4e87365b577					Esophageal resection				
c122f447-5f8b-4dab-99c9-9c98a53e9a9f				<blank>					
f3d1452c-494e-43a3-82c4-b9787e8c2948					Pneumonectomy				
138a7cc6-ec6a-44e4-a2ad-8132ab2943c1				<blank>					
52258ecd-b934-4693-aed2-7ee0fa75ea2f					<blank>				
86c4903f-ea31-4e76-a383-7120519e041a						Lobectomy complete or partial			
4c297f41-382c-4a6f-ae82-cb610a01fbdf						Closed chest tube insertion for chest trauma with hemo/pneumothorax			
0558ed00-a6ed-4a24-85ca-a2dbb874ba33				<blank>					
816abc19-2f12-42bd-bec4-c1519f664e78					Chest tube insertion for spontaneous pneumothorax				
1d72e7cd-9906-4a91-972a-bac1a3791d8d			VASCULAR						
21002115-83e0-4a38-84a9-3064c456ed50				<blank>					
e1729155-761c-4e55-afee-dc585af74f9c					"Arterial surgery involving the abdominal aorta, a prosthesis, or a groin incision"				
6a8ee3af-6465-419a-82a5-9a268db340f6				<blank>					
4c7d2256-0e92-4554-929b-f11254bbe91c					<blank>				
16d550b6-8f6f-4d64-9834-53d3bc0fc070						Carotid endarterectomy			
a0194fb0-ada8-4521-bc66-8b843f626f47						Brachial artery repair			
b9c2c0f9-5914-4d57-b039-1b0ca53a86f8			PLASTICS						
e652d2a8-28d5-4763-8d24-dea1da7de4a1				Reconstructive surgery					
66075d39-8d1c-4094-a878-fa30e5b639c6					<blank>				
81ae4a1d-e09b-4330-84f8-c3678a27718a						Tissue flaps			
dce5cd6b-ad23-44ca-ba6d-32f2ed34e476						Panniculectomy			
fcfed43e-eafe-48a3-bc36-df371ab9874e				Breast surgery					
a6dde574-7d5d-4c38-a4bd-a9731fad6092					<blank>				
35dabd7f-04f7-41cf-bbb9-68235c705c10				Reconstructive limb surgery					
df66838d-2307-4925-91a8-3963d6137fb4					<blank>				
3fca24da-110c-45a8-96f8-7417d11ecda0			ORTHOPEDIC						
d89afc18-3576-4e69-87be-0d70c33a62cb				Diagnostic or operative arthroscopy					
56ff723c-7345-40a4-8ff0-71d996c25894					<blank>				
9ccb06c3-3cfc-46b7-88f4-51fd56d809d7				<blank>					
88a676d7-4b40-4428-a11a-4698e69f59d9					<blank>				
a684f086-851e-4dab-af43-8cf49666a7ce						Joint replacement			
b76f210f-7f66-4a1c-9369-74a96e1befde						"Fractures with internal fixation (nails, plates, screws, wires)"			
9b5fad8d-f11d-4d21-bc14-7379cb568b0b				"Fractures, complex (open)"					
c49ca4c3-2750-4a28-9756-9aa283663968					<blank>				
a0469209-1a16-4008-869e-ef5fb7edce6e				Amputation of lower limb					
9e9f27ca-5a71-4646-b8c2-e41ab497e7b9					<blank>				
2fbe55c5-ac23-46ce-ad3e-c69aee4e38c1			SPINAL SURGERY						
6d18341c-4043-44d4-8bc6-ed7d3ec54dd1				<blank>					
377d7204-cb9c-423e-aef9-1296b935a8b1					<blank>				
52b4b78b-0f5d-4ce4-bd68-652db3142f42						Laminectomy			
0eeb3370-39e2-4cf0-bdd6-dac756da59d1						Microdiscectomy			
b8bab436-bbed-4af3-85ba-f59e7bb1dced				<blank>					
9fb660f5-3323-4c99-8409-3fc96c762520					<blank>				
44df53c1-7d2c-46f4-84ad-2b95b091201e						Spinal fusion			
60c1be8a-a7eb-436b-8def-6194194d34e5						Insertion of foreign material			
9c9926c9-5cb2-40d8-b326-d7f508aade05			NEUROSURGERY						
c590ff61-0f13-4dfc-94bf-c4f0a32846be				Craniotomy					
caf6c940-4d78-4f88-9246-b8b62c101505					<blank>				
244e55f6-978c-44a7-9a36-b6381c2b9666				Cerebrospinal fluid shunting operations					
f445d438-748b-4fdf-a3fe-bbb4720835c1					<blank>				
f36adb36-5c29-4772-a6c8-2bd468aecfcb				<blank>					
2a951b6e-5d35-42f4-897e-4f50fdb54c6b					<blank>				
56fef6a2-3120-4931-9e7b-cf4625b24995						External ventricular drain (EVD)			
601ed65f-da08-4e19-a2d6-7524179766e0						Intracranial pressure (ICP) monitor			
d5e86ffe-757b-4b95-94ff-e1ed4b602cdb			OPTHALMOLOGY						
6b2ef5aa-be83-43c1-829e-c36305737288				<blank>					
622770d3-339e-44d1-bdc5-f8a4c08f8ab3					<blank>				
6db32435-626a-412f-bae8-9bf32114c023						Cataract extraction			
42359d46-6092-4389-8879-f50c9a3e5c45						Conrneal transplant			
59d0a2aa-a185-4a16-acce-4839c59497b3						Retinal detachment			
3ce42d2b-521d-42c8-8f96-9e8a2a14f78d						Vitrectomy			
97ce6679-2215-49fc-ba29-7cd7bc12afbb						Dacryocystorhinostomy			
4c720687-382f-42cc-bfdc-72440319e12a						Eyelid Surgery			
a910e232-b892-4e92-b6da-396938fe11c6						Enucleation			
5da2a221-8357-4925-adf5-d51e7b16cf91			HEAD AND NECK						
0fd7f54a-ef90-4390-830e-e05f6a133064				Oropharyngeal surgery					
b912612b-e49f-4b78-9928-04b3720e08d9					<blank>				
51dc61cb-b200-4fb7-a3a8-96f6b4ef9de8				<blank>					
374c1a03-ad3b-4b38-bb69-668c1c1876dd					<blank>				
206d7c17-356c-46a0-8f7b-f7e12957ab48						Tonsillectomy			
36f86dd4-d397-4f52-ae99-598c275a3df5						Adenoiodectomy			
170bca51-c1b4-430f-99ce-2d7b8885cf87						Rhinoplasty			
