	ANTIBIOTICS					
86b09b90-7e35-40d4-b47b-26229076df5a				No/insufficient Activity		
c85fe912-2867-4034-9c73-583e7dfcae42				Indicated		
21eb5e3e-c1fe-45a7-b3c2-d1bb521498bd				Not Indicated		
f37aa8cf-d619-4bf2-adbd-22275e69052f			CLINDAMYCIN IV			
704b1b92-d9a8-42ce-8dff-2542476d18e6				Predictable Activity		
be3a9413-46f0-4e08-b74c-e8d39f11b5c1				Unpredictable Activity		
81679d53-44a7-4b30-8a45-8fc66e6bab2d				No/insufficient Activity		
b6652d9d-c327-4278-b62a-479b79504ae5				Indicated		
194e5d78-16c4-48c1-9497-600769f37ffd				Not Indicated		
78711a4a-adb9-4b29-ae28-34a5017fe113			CLINDAMYCIN PO			
75e8c460-d9c1-4a6c-8dfa-f9cfa2ea275c				Predictable Activity		
c4ded127-3e6c-470c-b04f-e9dc28393177				Unpredictable Activity		
0798de3d-f774-4c7e-b7e5-799bf4f76f3e				No/insufficient Activity		
7f8f7826-7768-4b5e-aa3c-8688285e5a9e				Indicated		
9a81f3db-9499-48c8-8b52-e95706ddaed5						
0867fdf8-1409-4c88-a47d-b542e9f589de			DOXYCYCLINE			
596c5ea0-ca61-4ff3-8f48-639aaffe6320				Predictable Activity		
06394777-dd8b-4b4f-a0de-c804e6feb0f4				Unpredictable Activity		
19b3c77f-e1bc-4fc8-bf75-bd2aba2c746e				No/insufficient Activity		
70696bfd-11e2-47e2-aac9-7f107bc06a94				Indicated		
3f4b210a-8fdf-4d62-bf6a-3b0abbf05138				Not Indicated		
302073b0-54b4-4cfd-b969-29420c10966d			ERTAPENEM			
368114ca-8c8c-43cc-829f-2a1807dcfaa2				Predictable Activity		
7e591c97-be0b-44a0-a657-21c07b34b4b9				Unpredictable Activity		
f8751953-18db-43ab-bea2-99ac75b2cf31				No/insufficient Activity		
f9512933-59d5-4300-8e04-2136d6f27146				Indicated		
bac5d0ab-bcfb-4c1f-93f6-2708a8e13521				Not Indicated		
afe6f889-4289-4255-9dd4-be193568bbbf			FLUCONAZOLE IV/PO			
464347f9-c76f-48df-9913-aefc4b5fbd40				Predictable Activity		
6a240569-9826-4b3e-a3f8-34535b652ffd				Unpredictable Activity		
c9bb7c2d-61d0-4b39-a37c-d60af13f04b9				No/insufficient Activity		
4a2143f3-39e3-4865-8375-ceaaa19a5c52				Indicated		
48ec117d-8a5b-4845-b42d-ad1a376169aa				Not Indicated		
d3149da9-0677-4929-af5c-bad4d80353d9			FOSCARNET			
23318514-5595-4207-9fd6-990fbf5ce477				Indicated		
a451413b-6e05-4361-a6f5-39ab868eca0f			GANCICLOVIR IV			
e9e1c072-0119-4a81-97a2-c045702bf797				Indicated		
731a98de-d296-4fc0-871f-d086230b67de				Not Indicated		
c9bb8965-d580-4525-a5b0-d5c3c61e9834			IMIPENEM			
39237202-7e8c-4010-a95d-eabb56f29faf				Predictable Activity		
e8b20522-99cd-40e3-9069-00d9d0909ecb				Unpredictable Activity		
ff7097fd-e717-4fd4-8630-12b724ca8153				No/insufficient Activity		
4e4cbc37-655b-4a98-805a-3d4f35f00f8a				Indicated		
f40dbe51-fdbd-4689-b833-7b65083b950e				Not Indicated		
42ab374f-d855-46a5-9241-3d7ac3914c6c			LEVOFLOXACIN IV			
c6ad8d26-72aa-434f-971f-4e4df50f2088				Predictable Activity		
d014d720-ff73-41c5-bc39-9d0ddd1987a2				Unpredictable Activity		
c3637b01-9845-46da-aec7-111539bd30bb				No/insufficient Activity		
90fe82c6-26a5-41c5-ae69-8833fa3a50db				Indicated		
7313cb9d-566f-4680-909e-72395e36ee7b				Not Indicated		
8276261e-688c-4c5f-991a-a87ebfc37ded			LEVOFLOXACIN PO			
5ea6e79b-24e7-4ecd-8ad2-fa8590e75c79				Predictable Activity		
f1c22768-2011-44d1-8c6a-5c79bfba19bb				Unpredictable Activity		
9768f469-46b9-4f41-a828-594693e0e6e2				No/insufficient Activity		
9b799a71-c70d-449e-9848-4bfeae231626				Indicated		
aa491f42-567a-481d-9d7c-0a8e186eb649				Not Indicated		
38c8856a-d5ad-4b4c-8bf6-e5dd55df17ff			LINEZOLID IV/PO			
6f72d865-5970-4cba-b41a-dad51a0e052c				Predictable Activity		
7ba36a91-2882-466e-bf12-2a815c64c337				Unpredictable Activity		
cfcd347f-8e67-4852-bfc4-644690897231				No/insufficient Activity		
d09de234-9cfa-48c8-ace2-2572b75d851c				Indicated		
7e99670a-e2f7-46a2-a001-e59c02d0a4f0				Not Indicated		
d4ab1363-f54c-4c5c-a3f5-fddc2e36c945			MEROPENEM			
83e4fb32-531d-448f-a741-546ec7efe8c0				Predictable Activity		
045ec564-3183-4a08-b78a-ec1ba8f83a0e				Unpredictable Activity		
2ce57f94-aa61-4b04-8dd3-5263c9092587				No/insufficient Activity		
f67661ff-6fd7-4c8e-ad1f-3387545917a9				Indicated		
e419aad5-3d61-4bcb-baf3-dffb52ebe361				Not Indicated		
b4973ae7-372a-4fb4-a6da-a39ef14d3f97			MOXIFLOXACIN IV / PO			
8e2dba7d-9476-4c98-ac15-5558b96e9ec3				Predictable Activity		
f421c289-8093-4f1f-9e6b-44d192859feb				Unpredictable Activity		
5c245ca2-651d-4178-96fd-d44ff4b2cd5a				No/insufficient Activity		
bff97acc-b64d-4d2a-8ffa-5297a15b67d0				Indicated		
386cd3c1-1c69-4f5e-99d7-3a5b1a40545f				Not Indicated		
87c8e7a7-c687-4954-8877-3a52d349cb31			NEURAMINIDASE INHIBITORS			
12a3ef74-56e4-4ed3-b1db-be4a66a7e46b				Predictable Activity		
eaeeebdb-f35c-4818-9b05-a1843cdd339e				Unpredictable Activity		
396fdfd7-1add-4b64-a6c8-87ecde5f686c				No/insufficient Activity		
fbdfb4f4-d739-42b6-b95d-3ac5da4f3a7f				Indicated		
dad8354f-253b-46c7-af2d-96496fda014e				Not Indicated		
f5b9c65f-ba79-46f5-9a1b-bff88d1a9193			PIPERACILLIN - TAZOBACTAM			
1341d62f-0add-4d00-8190-4a123d91f1d9				Predictable Activity		
4fd2b911-f4e8-46aa-8edd-30f6d7e63126				Unpredictable Activity		
a3275500-21e5-4b56-8938-9ba98cb2ab3c				No/insufficient Activity		
95340d12-7bd4-4dcc-a994-78a6aebc7b57				Indicated		
b1e541e5-5ab7-4915-9cfa-fc5144b33397				Not Indicated		
d3b7b023-23d2-4d05-bbeb-8bd7933816d9			QUINUPRISTIN-DALFORPRISTIN IV			
36257b9c-6f0b-4a52-bd54-b29a25b0643f				Predictable Activity		
6467c8d1-6af6-485a-96b9-a6b8d519c690				Unpredictable Activity		
2d19bb9a-2608-46ac-a6c9-3f2bf269cba7				No/insufficient Activity		
95005f46-01f5-4f76-94dd-9768e2104473				Indicated		
ba34ecb1-20ed-4cce-8e7c-2905d324a7ed				Not Indicated		
c38c9602-2bd6-410f-ae15-b495d644dce3			TICARCILLIN - CLAVULANIC ACID			
1b643765-d964-4080-bc82-cc609b1683fb				Predictable Activity		
1d9a6e3f-e97a-4466-911a-877a82cfded8				Unpredictable Activity		
45aedc0c-63a9-4114-b49c-ca023f7acf2d				No/insufficient Activity		
093f93a6-23cd-41b5-bc51-1acd4c5e12df				Indicated		
17b2150c-d9f5-4429-b89d-adfda4684bb2				Not Indicated		
c28146b0-68cc-4377-af77-d8a34b30ead8			VALGANCICCLOVIR PO			
3b34b5f0-e6da-4902-84ab-3e200b83d99f				Indicated		
2e7107de-4a3c-4847-ab85-3d3922e60438				Not Indicated		
fb0c6d7c-18c0-467e-b881-2249e100cf31			VANCOMYCIN IV			
2a0490ba-d47e-4864-baab-0f428b1419ed				Predictable Activity		
771a3484-465a-492e-b757-abd7cf501258				Unpredictable Activity		
ab889603-a0d5-48bb-b7e5-0725e4faddd0				No/insufficient Activity		
a3e983d8-da62-40a6-9153-6864b3da5ef5				Indicated		
ec4f2224-c646-428d-8dec-baae17c55812				Not Indicated		
3252edcd-36cb-4ba1-b042-c4e040194ea5			VANCOMYCIN PO			
2b19893e-1bdd-4470-918f-9ae849cead84				(blank)		
0aab3b3a-5e83-4d87-bd8a-e7799f2c2f97				Not Indicated		
ff32e382-13b6-4b36-8b6e-f40734bdcc1e			VORICONAZOLE IV/PO			
a0a34d12-b50f-4fc7-be6a-e680d14bffa3				Predictable Activity		
1ab748db-ef9b-462c-9ae8-30105a894751				Unpredictable Activity		
09f0efdd-5c70-4876-9979-e615254c2931				No/insufficient Activity		
377d206b-10f4-441c-975b-c69659e1286b				Indicated		
87ddbad0-279e-4866-a7cc-5a15aa6a984c				Not Indicated		
a4be853a-edb3-498e-a133-127a13fb8698			VORICONAZOLE IV/PO			
eca5709f-9ae5-4257-88d6-8f97ad88554e				Predictable Activity		
cf566bcd-08cc-4f89-8f58-6afbae417ba1				Unpredictable Activity		
8e1ef332-1a3c-4dfc-8f35-e0b32cb67081				No/insufficient Activity		
718899f6-aad6-413c-b068-75ababe42450				Indicated		
e0c03e1f-1b46-40bf-9cc3-92a8370eb198				Not Indicated		
