	TREATMENT RECOMMENDATIONS					
3505cc25-9b76-40b1-a363-974a8a93c3e9						Mild - moderate
f80d2660-66c0-4640-9d35-c4f90a369a97						Severe
447ec99e-b283-42e3-b62e-733977be3a05					Travellers' diarrhea	
20d750da-2e35-4954-a2dd-f4dab43aacbb						Mild
6de30f8d-50da-4a0c-85fa-1210d515a332						Severe
d063137f-af3c-455b-bc07-b6afc06b4874					Clostridium difficile-associated diarrhea (CDAD)	
f536f4af-f2ae-47d0-b03f-2fa62355185e						Mild
6a07fd71-9bd7-4b78-9bb1-36837fd9d352						Acute
c94c7d3c-74b8-4080-b30d-09ebe2d4a08c						Severe / toxic megacolon
6969d668-b28f-49ad-92f7-a99b64403fde						Recurrence
0c8975e1-1179-4631-af5e-65d39a382d5f					Necrotizing enterocolitis (NEC)	
5e3cceaf-4a07-4975-830b-698797349430						SINGLE PRESENTATION
009be9ee-284d-4a88-8438-4420d2858361					Appendicitis	
166d42c1-5dc1-4cf3-8f4b-9345641bb07b						SINGLE PRESENTATION
0ad62106-e60c-471c-9bc7-419fc88b8517					Heliobacter pylori	
bf2dccc8-ede8-4f79-97cc-f967cb037863						SINGLE PRESENTATION
4ca99bb5-6663-4e6f-a129-9d27d7dd5ea6					Peritonitis	
395eeb87-4d73-4b57-a58b-72afb2f0c132						Spontaneous bacterial peritonitis (SBP)
ce757b83-fafc-413f-be26-ef8a888d7cb2						Secondary peritonitis
4f5e589a-6207-4116-97ed-1c5f4daeb5e2						Chronic / Complicated
267febcb-f1da-431c-94df-1c612a6e7d3e						Peritoneal dialysis (PD) related peritonitis
b9d2c35d-46e2-4236-ab34-a144d1e984c6			Genital			
a81fcbd6-ae55-4b83-8282-a6e7d875df27					Vulvovaginitis	
03699f5e-0f12-4083-a1b7-3c0685968636						Prepubertal vaginitis
84f85144-bb99-48d9-85e1-494b765ebac3			Urinary Tract			
d73ebb65-5861-424f-bdbe-f43c66e82b4f					Asymptomatic bacteriuria	
435ff12e-23c9-44f2-8f35-b4fd2d380dfe						SINGLE PRESENTATION
9f792f74-bdfb-496b-b4d7-6e4d299dd343					Cystitis or pyelonephritis	
58c881ef-0de0-4722-9fb6-8b5a9ce144a4						General
dd544257-7226-4ee9-9d35-f36aca99155a						Recurrent
c5e40a8b-d3e8-4268-952b-b21ed84bb391					Chronic indwelling catheterization	
07ee7637-cc08-4233-a85b-8cbca5eefcc8						SINGLE PRESENTATION
b1893c53-b95d-41ce-ba2d-6947b6f54039			Central Nervous System			
d4e4ceb4-dace-4557-9e0b-9b1fa020f8c5					Meningitis	
04c22500-5727-4cfe-af4b-3db0230d47bc						General
667edf2d-775d-4f79-ae2c-54825ba85142						Neonates < 1 month
4205b7d8-4fac-4ea0-8e1b-c6fc4f2f2f58						Infants 1 - 3 months
9b3b38bf-aa0c-4dc7-9845-f7dadcb349f1						Children > 3 months
296ee1f8-19ea-40b8-971f-8240075b7547						Nosocomial in neonates
955a32cc-db34-4774-bb28-68037401f00b						Shunt or EVD
b92b6eec-1d23-481a-8873-974ef9d5acfd						Basilar skull fracture
f61b4888-9357-4ce1-b70d-a8e0573b228e					Brain abscess	
ffac2317-e7e5-437a-b06b-fcc35c0cf406						SINGLE PRESENTATION
d62c0e10-8b9a-4a4a-9986-dcadb10e2c66					Epidural abscess	
f3460cb3-0712-4f0b-962c-ad9328732455						SINGLE PRESENTATION
f37e58c3-fd92-4126-a7ab-b1a164f54468					Encephalitis	
29ea6b9a-e53a-4b83-a44d-194ea0f32c4e						SINGLE PRESENTATION
ae2f34ae-c2cf-4c18-a1fe-277e03283f29			Vascular			
c34bd9da-514a-40a7-a64a-5427fbe09e92					Pericarditis	
8112e3db-514b-4e45-9730-ff067634522b						SINGLE PRESENTATION
25f4a439-bba8-43c4-951e-169430529040					Endocarditis	
59ff5dc4-efac-49a7-83ff-56cb3d39f625						Native valve
5cb23dfd-dcd1-4950-81df-bc388fdaae62						Prosthetic valve
9e263b5f-27e7-4a51-ab2f-34eb157ed273			Sepsis without a focus			
757dc3d6-1f02-4e8a-ad29-2fe019649fae					Neonates	
f3d08e78-829c-45ab-9cfc-320cbf4b4fbb						< 1 month
e282b570-ec7d-4889-99c2-aefca6b32842						Infants 1 - 3 months
a4ef0b9e-56a2-4cc6-971b-3b31ab3bbf78						Children > 3 months
11126fd0-ad04-4f40-b174-53ae59fbb6db			Sepsis			
647acbd4-212e-462a-8579-a6c687901c17					Children > 3 months	
65b84a21-ee0f-4a79-82e0-973dfba2accf						SINGLE PRESENTATION
31943c01-df02-4432-87ec-a2b14374b053					Nocosomal without a focus	
7ef93023-71a0-4d2f-b1e3-71459562fe95						General
9b08caea-e4de-46d8-8c67-a5c8900cf0a1						Neonates
e2a41c71-f34b-4251-a714-4669b99cdbc5					Line-related Central venous line (CVL)	
27178525-79d2-4c90-ae5f-c17bf69e21ef						SINGLE PRESENTATION
d6b5d614-1f6e-4546-963e-ed5b75a3d532					Peripheral IV	
3274371a-371e-4945-aed3-38b3233db284			Febrile Neutropenia			
73f21f38-420e-410e-a9ec-1e23f37a1c14					No focus	
c57b77c4-b252-412e-bf75-91410ee7c170						SINGLE PRESENTATION
f74ac815-cc7b-4999-887a-dc4f391e5f71					Fever for ³ 5 - 7 days	
6f2de01f-c494-4bea-a4dc-c87685a12df3						SINGLE PRESENTATION
03b4901f-bbaf-44a6-b156-e07d849b70c9					Central venous line (CVL) tunnel infection	
c7574c29-f0ed-4a3a-ab85-25f82ff6511c						SINGLE PRESENTATION
76703d2e-965c-4b75-aaef-4487b82a68d7					Pneumonia	
13cc9a66-71e8-4367-8534-e8d7a0ca52c3						non-interstitial
313e4197-40ae-4774-9842-dd9b95f0b103						interstitial
8d5d99f9-941a-4f8f-b154-8a5053a91b8a					Typhlitis	
d19f2262-2f40-4803-996b-82baf71c00dc						SINGLE PRESENTATION
757409a4-9446-4aa5-ac23-03fb7660759b		Selected Infection in Adult Patients				
8d188a42-7ac0-453c-95cd-f753a9c9d81a			Skin & Soft Tissue			
025121e1-2aaa-4a77-9da8-067b3aafb3f2					Impetigo	
adcf9a1b-3161-4b31-a24e-3df97bf6b505						SINGLE PRESENTATION
7b65b6b2-191c-4590-a095-48f2b35072fc					Folliculitis/Furunculosis	
de77b9ea-1384-4ddd-8ab8-92d8cd625dd8						Normal
589f66e4-cb88-4585-8ea9-bf084ddada38						Whirlpool/hot tub
a6db31a8-48bc-4e68-b8ac-110f3790da74					Recurrent furunculosis	
1899a198-a55e-4793-b218-cb33b5355a09						SINGLE PRESENTATION
fe650551-6d35-44ab-a195-25d45a5fc502					Carbuncles	
8731decf-4e80-4756-8ad0-d10a35a61ac4						SINGLE PRESENTATION
463ebe98-75f2-4670-bc21-85be15d8ccc2					MRSA nasal carriage	
e16bd15e-cf1e-4f6c-aacb-1479db2f4ee0						SINGLE PRESENTATION
a088c4d8-46d6-4b9f-a31b-bbf8a64f22e9					Vesicular lesions	
6a42f57f-d490-422e-b975-235ccabbc40d						Chickenpox children
3a74abd9-e7e8-4cd0-bd08-2f4a69fd158b						Adults Immunocompetent
f15a8701-23fb-4374-a49b-be5d90e6ffd7						Adults Immunocompromised
f5f332d9-ad01-48fa-9911-64f71ed0a2ef						Zoster (Shingles) -  Immunocompetent
7b4cd783-0111-4379-99fd-fa485b553707						Zoster (Shingles) -  Immunocompromised
77da487c-4f25-46de-8d01-438b9f66e901						Mucocutaneous -  Immunocompetent Primary (gingivo-stomatitis)
db572399-9965-4f2f-8d3a-991ca0d69f13						Mucocutaneous -  Immunocompetent Recurrent (fever blisters, cold sores)
d72a788f-1a26-4d13-9b94-f265c2228005						Mucocutaneous -  Immuno-compromised
510f857a-950a-4bb9-9244-40fa061ae3d8					Cellulitis	
4da6ade2-a63d-4031-8d58-eeef82568cf0						Facial
d8e71b5c-2456-40b9-8886-d202d436f314						Extremities
7638aea5-7e68-4b4f-8bf0-610708d81c18					Lymphadenitis	
54f2fcf0-8cbb-42d0-b61e-494838b1920e						SINGLE PRESENTATION
8f6fed99-b92f-4f63-9783-623be7b7afdc					Peri-rectal cellulitis/abscess	
c37fa7c1-f2f1-44c7-9c53-feb89713934c						SINGLE PRESENTATION
c1e25b16-95ed-4e2e-8f7e-a95881b3776e					Breast abscess/mastitis	
beff4848-701b-4977-88fb-a39ee66a1a7c						Post-partum
c740308a-d4d8-4034-a698-f8b4afb85e5f						Postsurgical
b391e4df-0564-4e64-a7f4-8a610d36d373						Not post-partum, not postsurgical
1a950c0c-5304-45cf-b33b-909705829b5b					Animal bites	
bc8ec64a-5919-441c-9910-2bb1c6782e0d						Cats
e5168f86-34e8-4a10-af37-c280b87f2b07						Dogs
0845c606-5018-4711-b413-0053e415da50						Human bites
ceb05f8f-e5c7-4d3c-92a7-6a176fcb5f94					Diabetic foot infection	
62495dd9-b816-4cc4-95ea-3d8325a04468						Simple cellulitis
2d434edc-9d51-4204-b2a3-22f18c7d7740						Ulcer, drainage, fistula
c4ade2c8-ba60-452f-9f05-839591ef63aa					Pressure/decubitus ulcers/ ulcers 2o to PVD	
e2f5a8af-4cea-46be-908f-302016cb0d76						No evidence of clinical infection
607843ee-79da-4553-9514-893c5bbdf3c1						Evidence of clinical infection
e533a894-286b-42b0-ba2d-8c54e332c046					Post-operative wounds	
220b2d5a-cfaa-4f70-8a91-d9b4dc90ceac						Involving trunk, neck, head, extremity
941c2ab4-2e02-41c0-ac6e-b4abe5086364						Involving perineum, GI tract, female genital tract, axilla
6e4c8849-ad12-4b5f-b5fc-5fc53288cfad					Rapidly progressive skin & soft tissue infections	
2772e468-8693-4acc-9f0c-b5f052365982						SINGLE PRESENTATION
129e480b-86ef-4eae-8609-ff24a9186552					Necrotizing fasciitis/myositis	
9e2409c4-1ef0-49a9-ab20-887954f25ca0						SINGLE PRESENTATION
9e322d09-ae3d-41a2-b7c9-c6ef706bc986					Synergistic necrotizing cellulitis, Fournier's gangrene	
2af20800-f237-4e7c-b270-a91ea35f3d13						SINGLE PRESENTATION
e10f7eb9-66d5-4225-b01e-06a0acefe34c					Gas gangrene	
77637ddd-81a6-4d9a-a92f-f7811c6e9446						SINGLE PRESENTATION
a0de6a40-878a-47fc-ba3b-6993ff91b1cb			Bone & Joint			
229a8baa-1cbc-4773-827f-9c0bd9582eb0					Post-operative wounds	
d61875ea-5bf5-4439-891e-a200e24556b5						Involving trunk, neck, head, extremity
1c9cea66-0249-4ffe-8ae9-69a44261a18e						Involving perineum, GI tract, female genital tract, axilla
8691cfdb-26e2-4dc3-a182-54aa90a44eba					Rapidly progressive skin & soft tissue infections	
027bc433-f04f-4238-89ef-23ca40e367fd						General
712be992-4acd-4039-8e6e-6ec24a38b6d5						Necrotizing fasciitis/myositis
75e3fbc0-b16b-426c-8bb7-167968770707						Synergistic necrotizing cellulitis, Fournier's gangrene
55b7164f-644b-4000-9400-6ec4496acf5c						Gas gangrene
1deaaf34-7eda-4742-a71a-5791b75d3163					Osteomyelitis	
b6f9be70-da00-4ae8-970a-24374b099d76						Hematogenous
fad28ff7-658c-47c9-9be6-4969facd56e5						Intravenous drug use
f853fee7-1ad2-4066-9e2b-ab7076218c27						Contiguous vascular insufficiency, diabetic foot
dec49b2a-b83d-442b-a505-be1d56fac64c						Post-nail puncture of foot
1df6b2aa-fe9a-4272-8616-48b9dca38545					Post-operative sternotomy/mediastinitis	
e49f6762-af41-423c-83b6-e6ad5af22121						SINGLE PRESENTATION
1b7cf7e2-578b-443a-a3e0-d492422be1c9					Prosthetic joint infections	
0da1eb3d-e05e-4094-b1e8-c6231fcbcac5						Early (<3 months)
260e217c-dd38-4051-8cf6-92ef57f0608e						Delayed (3-24 months)
0d571456-40fe-45fd-94b3-dea4f5e061bd						Late/Hematogenous (>2 years)
3fcd6588-ab07-4a14-88ab-caea6e92b719					Septic arthritis 	
1ab89794-7726-43cc-8cbc-dc3c9f7b1022						Adults
a2338a0d-53ff-403b-ac6a-2e649e5bf826						Gonococcal
4aca553a-57ca-4137-9dc4-c3d0147dccff						Rheumatoid arthritis
46128180-856b-417b-97e4-0270a06bed2c						Shoulder arthroplasty, rotator cuff surgery
7da4c347-1fc3-4207-9a5f-2db8d6dcc32d						Intravenous drug use
95b67c41-a971-4ce4-ad63-72be2acfe1af					Septic bursitis	
996f56c4-c3f8-4d05-8396-ed5b09674192						SINGLE PRESENTATION
0b65f9e2-7436-4c22-9785-93be2b7e4f5a			Respiratory			
f338692e-b2a7-4d86-a9ec-f690ddee6002					Pharyngitis	
3fe0084e-9417-422f-b82b-0c92cc3bb1bc						Acute
be8c4b0f-e703-4461-8377-95512ed0501b						Non-responders (after 72 hours of therapy) or Early relapse (2-7 days post therapy)
6d04f3ea-50ba-4f8e-87ca-5806323d28a8						Late relapse or recurrent
962622e0-bac2-4b14-988d-58154868edab						Asymptomatic carrier
1605aaa6-68db-43fb-803d-6863c32463f6						Gonococcal
ac12787f-86a7-48f1-8797-e93ae3916424					Vincent's Angina	
cabde671-73a0-4a60-b688-da8e9ee74ce4						SINGLE PRESENTATION
20d1523d-3d48-415a-94fd-5835332b765a					Jugular Vein Septic Phlebitis (Lemierre's Syndrome)	
52671f60-6ecd-476e-a6ab-29b225ab43a5						SINGLE PRESENTATION
b1738fed-1310-430c-a4e2-3e8142532868					Parapharyngeal space infections (Ludwig's angina)	
c97e350d-fd83-4af5-919e-a38049b0c2c9						Normal
5288f565-fc67-42c0-8bfb-e4ddeffb22fe						Odontogenic
c988bc82-91d6-43dd-96fd-a5ff9e745eb6					Laryngitis	
77e0e7bd-e23f-4729-b599-53f9091e29e9						SINGLE PRESENTATION
ce6516b7-a496-4714-b64e-fd6d7ae4de10					Rhinitis	
04ae4894-80a2-4ee0-bcaf-d4912078eb65						SINGLE PRESENTATION
92fb92b1-8301-440a-92cc-2e35134e53ac					Ottis Media	
5afd377d-ec9b-4df3-8840-84bf3fb1ff53						Acute
ae3ffd1c-e721-4c55-b7d1-c4d731d492ef						Failure of first line agents
1a5e33c2-3a23-41bd-8fa4-a39e7df9dc78						Chronic
27d23562-99cb-426d-974e-bc0a395c8067						Hospital acquired ottitis
da944325-f078-4d4f-8608-136d457c8fd8						Swimmer's ear
265c7303-3c3d-4e16-a120-3cade8343fb3						Invasive ottitis externa
e5b9c269-ff51-4968-835b-99b75820dd0c					Mastoiditis	
006c25d2-b85e-4ea7-8ad8-ed30730421b9						Acute
0ddfacec-b6c5-41b9-9a29-921cafa8361a						Chronic
28a2ff7b-de70-4ecf-8857-c00337a1c76f					Sinusitis	
30780ac0-b494-4565-a8da-7281feda3593						Acute
a308c096-a2e9-42b9-bd9b-36df15b055fd						Failure of first line agents
5d806558-e9b0-42fd-9354-41ada3dd5261						Acute Recurrent
dc7feb8f-310e-4e1d-9367-e1a843245527						Chronic: Symptoms ³ 12 weeks
ddc67756-93e7-4bcb-8d56-fd1ba8e3b793						Hospital Acquired
f646a61a-e296-4664-998e-73e0ad5e9fe3						Fungal
69c46035-befa-406d-92f4-ac011c611207					Whooping Cough	
3cd41a7d-5082-4c84-9610-b7c7781c8dcf						SINGLE PRESENTATION
00f1814b-8306-4396-8655-82f40ab3bb81					Bronchitis	
06560e3f-6fba-4299-8a44-134180e872ec						Acute
cb141fa1-9769-49a9-86fe-793c6c259405						Acute exacerbation of chronic bronchitis (AECB)
477f6ba2-d2b9-4b80-af7f-3e9ecc0da21b						At least 2 of the above criteria and:a
f9a7701a-0ffe-46bf-9f67-676110c0d5e1						At least 2 of the above criteria and:b
63a768cd-397d-491b-9978-97e38c054acf						Bronchectiasis / end stage lung disease
cc7487dd-3b06-4826-9554-4b822bcfd9ba					Community acquired pneumonia	
4a0d101e-b220-4564-b7de-1b3bfdd9c308						Outpatient: No comorbid factors
e429a80e-8518-4ea2-81dc-f27010e880a2						Outpatient:comorbid factors
13b73c3b-5eff-48b5-935f-411dd7930c82						Outpatient:Failure of 1st line agents
ef43b894-e820-4499-9466-83c5a15845ae						Hospitalized - Moderate
c085d1e6-31eb-4704-b11b-7379d2751804						Hospitalized - Severe
cbcc970b-039b-4036-a269-a979bacc3e37					Nursing home acquired pneumonia	
7529a134-07c9-48cb-a7f8-1b56c900f95a						Treated in nursing home
e7dc7e9b-3e74-42a9-97aa-cf163e99d9ed						Transferred to acute care
f0815292-afc8-4f37-ae9c-dcaee4baf000					Influenza	
2e344b25-2620-4076-b539-65aa5d2e4cc0						SINGLE PRESENTATION
49c1480c-78a0-4ce5-ac1a-daf74757d251					Hospital acquired pneumonia	
d2fa1506-331a-424a-b937-321e82382ab1						Early onset
9a2562f5-96ae-414b-9ee9-b6b6487a427b						Late onset
28fcacef-e218-411b-9087-dae8d41547fb						Late onset with risk factors
6f3e8da6-b041-417b-9e34-0636d123a85a						Late onset with risk factor:aspiratiion
fb284740-9bc2-4467-9cb8-7eb922cbbe4d						Late onset with risk factors
fb35cd01-fec2-4162-b9d7-51b55b165204					Ventilator associated pneumonia (VAP)	
ec8b3dbd-e176-4637-ae3d-3579ebe12def						² 7 days
13b534c4-4635-4e2a-8c24-3a0c224109e3						³ 7 days
4bb20eb8-ec10-4809-8b41-365267946265					Aspiration pneumonia	
ca6e4f6d-d487-42ae-aa95-25220bc1ddaa						Community acquired or nursing home
9b6df339-b2e9-4537-9f82-051ee5746018						Community acquired or nursing home with:
202796bd-b174-498b-8c7f-356d752124e8						Hospital acquired
